Auction price,Runs,Average,Higest_score,Strike Rate,Fifty,Four,Six
40000000,86,17.2,58,140.98,1,10,3
32000000,268,22.33,52,111.2,1,28,8
10000000,134,16.75,46,134,0,6,8
62000000,299,24.91,72,166.11,2,25,19
44000000,393,39.3,74,131.43,5,45,11
2000000,4,2,4,57.14,0,0,0
4000000,4,4,4,50,0,1,0
3000000,2,2,2,100,0,0,0
3000000,27,9,11,135,0,3,1
50625000,43,14.33,23,91.48,0,5,1
10000000,66,11,25,90.41,0,5,0
5500000,426,30.43,75,133.12,2,47,13
65000000,98,16.33,33,130.66,0,7,4
3000000,10,10,5,200,0,2,0
7000000,16,8,15,94.11,0,0,1
32000000,7,3.5,5,58.33,0,0,0
16000000,18,6,18,78.26,0,3,0
12000000,8,4,8,53.33,0,1,0
2500000,14,7,7,82.35,0,1,0
2000000,126,15.75,24,128.57,0,16,3
26000000,381,47.63,68,139.05,3,25,19
40000000,133,19,44,103.9,0,14,4
10000000,8,8,8,100,0,1,0
15000000,148,24.66,45,125.42,0,13,6
1000000,12,0,12,100,0,1,0
64000000,184,18.4,47,119.48,0,20,5
5000000,5,0,5,250,0,1,0
24000000,101,33.66,40,140.27,0,4,6
32500000,127,21.16,43,144.31,0,16,6
36000000,319,29,72,147,2,29,18
64000000,184,18.4,47,119.48,0,20,5
19000000,125,25,40,100.8,0,17,0
5000000,92,23,51,92.92,1,14,0
13000000,49,49,49,140,0,4,3
96000000,405,31.15,82,139.65,4,41,22
20000000,491,32.73,74,130.23,3,56,18
5000000,6,0,6,120,0,1,0
30000000,481,68.71,94,142.72,2,32,23
7500000,124,24.8,62,109.73,1,11,3
30000000,213,26.62,59,129.87,1,19,7
55000000,432,48,92,150.52,5,52,15
62500000,195,24.37,57,107.73,2,15,6
2000000,75,15,23,101.35,0,5,5
2000000,376,22.12,54,122.87,1,40,14
77500000,411,31.61,101,125.3,1,44,14
10000000,252,42,87,145.66,3,22,12
30000000,161,23,49,142.47,0,14,11
125000000,330,55,66,183.33,1,27,22
105000000,223,22.3,40,131.17,0,22,7
23000000,169,14.08,58,126.11,1,20,4
74000000,253,31.62,97,146.24,2,22,14
55000000,498,49.8,52,147.77,2,49,16
3000000,4,0,4,66.66,0,0,0
45000000,239,21.72,74,153.2,2,32,8
23000000,324,29.45,73,146.6,3,35,16
1000000,24,12,19,171.42,0,2,2
15000000,65,16.25,26,104.83,0,6,2
20000000,123,24.6,51,117.14,1,8,4
52500000,187,23.37,63,123.84,1,11,11
38000000,73,24.33,55,130.35,1,8,3
20000000,151,30.2,58,162.36,1,18,7
16000000,468,31.2,96,127.52,3,49,13
70000000,633,45.21,95,138.2,6,60,23
28000000,85,17,55,96.59,1,8,1
32500000,84,21,34,85.71,0,9,2
75000000,301,27.36,55,169.1,1,31,15
60000000,513,42.75,78,144.1,6,48,21
90000000,108,15.42,32,101.88,0,9,0
107500000,169,14.08,47,140.83,0,14,9
142500000,310,31,47,173.18,0,19,26
15000000,26,13,14,78.78,0,1,2
3500000,418,32.15,81,120.11,3,45,11
62000000,241,26.77,84,133.88,2,21,10
152500000,516,57.33,99,145.76,4,36,30
10000000,150,30,60,123.96,1,21,1
15000000,120,30,91,127.65,1,9,7
15000000,59,29.5,31,147.5,0,9,1
20000000,234,29.25,44,163.63,0,22,12
